"registry_entry_key","registry_pharmacy_name","registry_district","registry_area","gis_object_id","gis_global_id","gis_shop_name","gis_district","gis_sector","gis_cell","gis_village","gis_street_number","longitude","latitude","accuracy_m","collected_at","edited_at","source_url","review_reason"
"","","","","17","{6C797624-645E-4B71-8CDF-627797D7AA35}","MALISA Pharmacy","Kicukiro","Gatenga","","","","30.0956728","-1.9782338","0.000","2021-10-05T10:00:00.000Z","2023-11-01T07:36:56.076Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","18","{52482ED8-5876-4A68-A330-145DA85EEE78}","Stn.Marie Queen Pharmacy","Kicukiro","Nyarugunga","","","","30.1475054","-1.9653765","0.000","2021-10-05T10:00:00.000Z","2023-11-01T07:37:34.787Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","19","{CC9507CF-A62B-472C-B5E0-67CD9B0EE66E}","Jide Pharmacy","Kicukiro","Niboye","Niboye","Taba","KK 21 Av","30.1129419","-1.9783771","2.000","2021-10-05T10:00:00.000Z","2023-11-01T07:38:39.938Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","20","{F5C9AC4F-5EB0-42A8-93D7-3694BC486FD6}","Bethazatha Pharmacy","Kicukiro","Niboye","Niboye","Sovu","KK 21 Av","30.1042713","-1.9691200","2.500","2021-10-05T10:00:00.000Z","2023-11-01T07:38:45.961Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","21","{A1294F36-27CF-478A-B94D-DFD1C2CE1359}","Memas Pharmacy","Kicukiro","Niboye","Niboye","Sovu","KK 335 St","30.1029777","-1.9678584","1.500","2021-10-06T10:00:00.000Z","2023-11-01T07:38:49.869Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","","","","23","{88CBDF90-D430-4558-8D02-D562DF902172}","Pharmacy La Princense","Kicukiro","Kigarama","","","","30.0759171","-1.9659804","0.000","2021-10-05T10:00:00.000Z","2023-11-01T07:39:26.900Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","EMMY PHARMACY Ltd","KICUKIRO","KANOMBE RUBIRIZI","24","{DED0F35B-3E4D-4076-968D-3191AE886B7F}","Emmy Pharmacy","Kicukiro","Kanombe","","","","30.1324392","-1.9824511","0.000","2021-10-05T10:00:00.000Z","2023-11-01T12:50:13.658Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","25","{185DFDF7-3481-4E3B-9804-0E940FD1A2E0}","Herit Pharmacy","Kicukiro","Gikondo","","","","30.0768178","-1.9716575","0.000","2021-10-05T10:00:00.000Z","2023-11-01T14:28:55.923Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
"","SEMU PHARMACY Ltd","KICUKIRO","NIBOYE GATARE","26","{2960426F-21A2-46E5-BA66-499AE6369086}","Semu Pharmacy","Kicukiro","Niboye","","","","30.1084115","-1.9758318","0.000","2021-10-06T10:00:00.000Z","2023-11-01T07:41:20.634Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","cell_mismatch_or_accuracy"
"","","","","27","{B2AE1C00-60A7-4C31-894F-D30D22FB126E}","Pharma Best Pharmacy","Gasabo","Remera","","","","30.1098802","-1.9591841","0.000","2021-10-06T10:00:00.000Z","2023-11-01T08:44:05.979Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","name_or_district_unmatched"
