"source_serial","name","technician","council_registration_number","province","district","sector_cell_raw","license_expiration_date","source_url"
"1","AXENTT LIMITED","Emmanuel Nzabahimana","NPC/A1182","Kigali City","Kicukiro","Gikondo Kanserege","2030-01-27","https://rwandafda.gov.rw/monitoring-tool/documents-management/uploads/1/Licensed-Premises/1781787371_5.%20%20LIST%20OF%20LICENSED%20ONLINE%20PHARMACIES-MAY%2020261.pdf"
"2","KASHA RWANDA LTD","Christian King Musana","NPC/A1389","Kigali City","Nyarugenge","Nyarugenge Kiyovu","2030-06-02","https://rwandafda.gov.rw/monitoring-tool/documents-management/uploads/1/Licensed-Premises/1781787371_5.%20%20LIST%20OF%20LICENSED%20ONLINE%20PHARMACIES-MAY%2020261.pdf"
"3","HARAKAMEDS Ltd","Ishimwe Uwimana Rene","NPC/A0829","Kigali City","Kicukiro","Masaka Cyimo","2030-09-22","https://rwandafda.gov.rw/monitoring-tool/documents-management/uploads/1/Licensed-Premises/1781787371_5.%20%20LIST%20OF%20LICENSED%20ONLINE%20PHARMACIES-MAY%2020261.pdf"
